filename,length_to_width_ratio,n_strokes_detected,orientation_hist_0,orientation_hist_1,orientation_hist_10,orientation_hist_11,orientation_hist_2,orientation_hist_3,orientation_hist_4,orientation_hist_5,orientation_hist_6,orientation_hist_7,orientation_hist_8,orientation_hist_9,stroke_curvature_mean,stroke_curvature_std,stroke_length_mean,stroke_length_std,stroke_width_mean,stroke_width_std
rembrandt_met_437394.jpg,4.238267,492,0.00361,0.002888,0.000241,0.0,0.004091,0.009627,0.007942,0.007461,0.016847,0.007461,0.004332,0.002166,0.581106,0.228375,8.476534,5.125535,2.0,0.0
rembrandt_met_437396.jpg,11.389163,339,0.023974,0.003284,0.000328,0.0,0.001642,0.003612,0.002956,0.002627,0.017077,0.002956,0.00197,0.00624,0.381038,0.331911,22.778325,43.728958,2.0,0.0
rembrandt_met_437398.jpg,6.396382,1140,0.009868,0.001535,0.000658,0.0,0.002851,0.005044,0.007237,0.006798,0.022368,0.005482,0.00307,0.001754,0.534001,0.289409,12.792763,24.803567,2.0,0.0
rembrandt_rijks_200106038.jpg,4.259256,553,0.013986,0.005828,0.000932,0.0,0.001632,0.004196,0.003963,0.004662,0.015385,0.008858,0.003497,0.00373,0.584142,0.302339,8.520979,5.308449,2.000579,0.00978
rembrandt_rijks_200106038.png,4.271641,547,0.015023,0.005634,0.001174,0.0,0.001878,0.003756,0.003521,0.00493,0.014554,0.007746,0.003756,0.004695,0.567777,0.312871,8.545775,5.218603,2.000583,0.009814
rembrandt_rijks_200107928.jpg,5.148769,1102,0.006475,0.003837,0.00048,0.00024,0.004796,0.005755,0.005995,0.005276,0.015588,0.009592,0.002878,0.005755,0.668385,0.249961,10.298561,11.042465,2.000199,0.003306
rembrandt_rijks_200107928.png,5.0,1093,0.006515,0.004126,0.000434,0.0,0.004126,0.005863,0.004343,0.004995,0.017807,0.010423,0.00304,0.004995,0.63431,0.257269,10.0,10.636426,2.0,0.0
rembrandt_rijks_200107929.jpg,5.696273,669,0.011187,0.004566,0.000913,0.0,0.003881,0.006393,0.003653,0.003425,0.016895,0.008447,0.00411,0.003196,0.559348,0.298547,11.39726,12.685327,2.000827,0.010066
rembrandt_rijks_200107929.png,5.510753,667,0.010036,0.002628,0.000239,0.0,0.005735,0.007407,0.004301,0.003106,0.017204,0.008841,0.004301,0.002867,0.596381,0.277617,11.021505,11.71218,2.0,0.0
rembrandt_rijks_200107930.jpg,4.381974,793,0.013448,0.002861,0.000572,0.0,0.001144,0.004292,0.002575,0.003433,0.017454,0.005722,0.007725,0.007439,0.514369,0.274425,8.763948,5.280142,2.0,0.0
