filename,crossing_index,dominant_orientation_strength,hatching_type,orientation_entropy,orientation_entropy_normalized,orientation_response_profile_0,orientation_response_profile_1,orientation_response_profile_10,orientation_response_profile_11,orientation_response_profile_2,orientation_response_profile_3,orientation_response_profile_4,orientation_response_profile_5,orientation_response_profile_6,orientation_response_profile_7,orientation_response_profile_8,orientation_response_profile_9,parallelism_index
rembrandt_rijks_200138946.png,0.98142,0.131929,crossing_harmonious,3.491791,0.974011,2.4e-05,1.8e-05,1.1e-05,1.6e-05,1.1e-05,8e-06,9e-06,1.5e-05,2.3e-05,2.2e-05,1.4e-05,1e-05,0.322672
rembrandt_rijks_20022176.jpg,0.930901,0.112983,crossing_harmonious,3.561708,0.993513,1.4e-05,1.3e-05,1e-05,1.3e-05,1.2e-05,1.1e-05,9e-06,8e-06,9e-06,1e-05,9e-06,8e-06,0.31721
rembrandt_rijks_20022176.png,0.92916,0.113031,crossing_harmonious,3.561794,0.993537,1.4e-05,1.3e-05,1e-05,1.3e-05,1.2e-05,1.1e-05,9e-06,8e-06,9e-06,1e-05,9e-06,8e-06,0.317245
rembrandt_rijks_20026156.jpg,0.881073,0.131327,crossing_harmonious,3.538229,0.986964,8e-06,1e-05,5e-06,6e-06,1.2e-05,9e-06,6e-06,6e-06,8e-06,8e-06,6e-06,5e-06,0.346269
rembrandt_rijks_20026156.png,0.880744,0.13136,crossing_harmonious,3.538394,0.98701,8e-06,1e-05,5e-06,6e-06,1.2e-05,9e-06,6e-06,6e-06,8e-06,8e-06,6e-06,5e-06,0.346234
rembrandt_rijks_20026162.jpg,0.98702,0.116467,crossing_harmonious,3.551202,0.990583,2.5e-05,2.5e-05,1.6e-05,1.9e-05,2.1e-05,1.8e-05,1.8e-05,1.8e-05,1.6e-05,1.3e-05,1.3e-05,1.3e-05,0.320582
rembrandt_rijks_20026162.png,0.98583,0.11642,crossing_harmonious,3.551491,0.990663,2.5e-05,2.5e-05,1.6e-05,1.9e-05,2e-05,1.8e-05,1.8e-05,1.8e-05,1.6e-05,1.3e-05,1.3e-05,1.3e-05,0.320314
rembrandt_rijks_200639587.jpg,0.977964,0.108616,crossing_harmonious,3.55814,0.992518,2.8e-05,2.3e-05,1.7e-05,2.4e-05,1.7e-05,1.7e-05,2e-05,2.4e-05,2.9e-05,2.7e-05,2.3e-05,1.8e-05,0.299406
rembrandt_rijks_200639587.png,0.971272,0.108975,crossing_harmonious,3.558118,0.992512,2.8e-05,2.3e-05,1.7e-05,2.4e-05,1.7e-05,1.7e-05,2e-05,2.4e-05,2.9e-05,2.7e-05,2.3e-05,1.8e-05,0.300192
rembrandt_rijks_200642954.jpg,0.558193,0.26281,parallel_harmonious,3.221879,0.89872,0.000137,7.7e-05,2.3e-05,7e-05,2.9e-05,2e-05,1.8e-05,3.3e-05,5.1e-05,3e-05,1.7e-05,1.7e-05,0.542573
rembrandt_rijks_200642954.png,0.558242,0.262751,parallel_harmonious,3.222062,0.898771,0.000137,7.7e-05,2.3e-05,7e-05,2.9e-05,2e-05,1.8e-05,3.3e-05,5.1e-05,3e-05,1.7e-05,1.7e-05,0.542457
