filename,center_luminance,color_variance_zones_0_0,color_variance_zones_0_1,color_variance_zones_0_2,color_variance_zones_1_0,color_variance_zones_1_1,color_variance_zones_1_2,color_variance_zones_2_0,color_variance_zones_2_1,color_variance_zones_2_2,detail_zones_0_0,detail_zones_0_1,detail_zones_0_2,detail_zones_1_0,detail_zones_1_1,detail_zones_1_2,detail_zones_2_0,detail_zones_2_1,detail_zones_2_2,luminance_gradient_tb,luminance_zones_0_0,luminance_zones_0_1,luminance_zones_0_2,luminance_zones_1_0,luminance_zones_1_1,luminance_zones_1_2,luminance_zones_2_0,luminance_zones_2_1,luminance_zones_2_2,warmth_gradient_tb,warmth_zones_0_0,warmth_zones_0_1,warmth_zones_0_2,warmth_zones_1_0,warmth_zones_1_1,warmth_zones_1_2,warmth_zones_2_0,warmth_zones_2_1,warmth_zones_2_2
rembrandt_met_437394.jpg,0.107314,0.011491,0.034721,0.007153,0.069675,0.103254,0.09607,0.033009,0.039978,0.057497,0.003134,0.005741,0.002996,0.012377,0.018369,0.01759,0.007898,0.010134,0.014365,-0.045626,0.031508,0.029092,0.022881,0.102523,0.107314,0.085657,0.066944,0.05926,0.094154,0.021742,0.025179,0.018158,0.015212,0.062836,0.049727,0.040177,0.041928,0.033381,0.048467
rembrandt_met_437396.jpg,0.180799,0.092035,0.101946,0.095971,0.041032,0.105099,0.056752,0.086726,0.094505,0.100877,0.01892,0.01888,0.019341,0.009659,0.018481,0.012995,0.023761,0.024554,0.023311,-0.006776,0.103623,0.144697,0.128653,0.08005,0.180799,0.090233,0.120193,0.164175,0.112932,-0.00067,0.032566,0.061484,0.049479,0.029252,0.089047,0.03727,0.04041,0.070363,0.030745
rembrandt_met_437398.jpg,0.388203,0.04269,0.073167,0.038334,0.072209,0.186187,0.110476,0.119365,0.119142,0.117298,0.01247,0.020346,0.011636,0.008331,0.026592,0.017677,0.028504,0.032785,0.028363,-0.113058,0.155381,0.132512,0.101829,0.166443,0.388203,0.162148,0.21073,0.319761,0.198405,0.052523,0.074669,0.053978,0.033858,0.084292,0.116515,0.060876,0.091757,0.153087,0.07523
rembrandt_rijks_200106038.jpg,0.460394,0.107533,0.070274,0.044256,0.13726,0.102482,0.073599,0.090758,0.110436,0.0634,0.010631,0.018664,0.02128,0.014361,0.020513,0.017519,0.026962,0.032628,0.018554,0.05233,0.3968,0.253319,0.18258,0.560675,0.460394,0.304669,0.236644,0.254984,0.184082,0.022177,0.057679,0.083945,0.102765,0.072209,0.09172,0.081908,0.116597,0.116999,0.077324
rembrandt_rijks_200106038.png,0.460411,0.107544,0.070232,0.044247,0.137252,0.102463,0.073557,0.090724,0.11042,0.063412,0.010623,0.018665,0.021286,0.014345,0.020499,0.017529,0.026949,0.03263,0.018548,0.052334,0.396827,0.253338,0.182591,0.560644,0.460411,0.304691,0.236646,0.25499,0.184119,0.022205,0.057698,0.083968,0.102854,0.072301,0.091668,0.081929,0.116664,0.117029,0.077442
rembrandt_rijks_200107928.jpg,0.183547,0.032685,0.017636,0.026005,0.087705,0.153239,0.076037,0.107286,0.151841,0.089489,0.010128,0.005833,0.013374,0.026714,0.041435,0.026753,0.024542,0.037794,0.018764,-0.099896,0.074555,0.071254,0.1004,0.128126,0.183547,0.137702,0.171583,0.20132,0.172995,0.053407,0.036702,0.031498,0.049241,0.068363,0.088821,0.070746,0.080373,0.099055,0.098235
rembrandt_rijks_200107928.png,0.182207,0.032772,0.017737,0.026181,0.087768,0.1534,0.076186,0.107186,0.151948,0.089783,0.010119,0.005861,0.013394,0.026623,0.04141,0.026744,0.02456,0.037761,0.018816,-0.09991,0.073119,0.069976,0.099011,0.12679,0.182207,0.136305,0.170104,0.199991,0.171741,0.053791,0.036203,0.030931,0.048956,0.06812,0.088651,0.070577,0.080238,0.099113,0.098111
rembrandt_rijks_200107929.jpg,0.176506,0.072565,0.06492,0.065475,0.141366,0.148224,0.141525,0.05243,0.101818,0.060328,0.016203,0.016687,0.018911,0.02423,0.034409,0.02742,0.01714,0.028787,0.020394,0.05183,0.199498,0.242775,0.241969,0.147151,0.176506,0.177872,0.11927,0.198364,0.211118,-0.012046,0.086749,0.125196,0.118128,0.04013,0.05755,0.051568,0.04078,0.128434,0.124723
rembrandt_rijks_200107929.png,0.176317,0.072642,0.065156,0.065208,0.141347,0.14813,0.14137,0.052591,0.10175,0.060577,0.016263,0.016771,0.018863,0.024238,0.034492,0.027508,0.017176,0.028756,0.020351,0.051907,0.199521,0.243112,0.241744,0.147033,0.176317,0.177856,0.119175,0.198239,0.211242,-0.011594,0.086863,0.125435,0.118059,0.04048,0.057799,0.051831,0.041282,0.129302,0.124992
rembrandt_rijks_200107930.jpg,0.299613,0.163586,0.256087,0.040548,0.108734,0.149289,0.061129,0.061242,0.050225,0.068719,0.01493,0.028122,0.008246,0.018915,0.031763,0.009698,0.01451,0.015398,0.011495,0.062443,0.159105,0.391133,0.10797,0.187618,0.299613,0.205469,0.135203,0.137159,0.198517,-0.009671,0.043127,0.087141,0.031973,0.071351,0.138559,0.073283,0.048438,0.033823,0.050968
rembrandt_rijks_200107930.png,0.299603,0.163615,0.256076,0.04053,0.10874,0.149282,0.06115,0.061257,0.050224,0.068738,0.014886,0.028102,0.00823,0.018882,0.031756,0.009687,0.014472,0.015354,0.011471,0.062489,0.159069,0.391139,0.108002,0.187613,0.299603,0.205478,0.13513,0.137111,0.198502,-0.009669,0.043071,0.087209,0.03196,0.071375,0.13859,0.073392,0.048481,0.033791,0.050962
rembrandt_rijks_200107931.jpg,0.243026,0.023654,0.075738,0.101098,0.076833,0.125614,0.057837,0.083459,0.133562,0.114333,0.005512,0.012662,0.022585,0.016456,0.0423,0.02488,0.027582,0.032773,0.020204,-0.111146,0.059491,0.134348,0.220916,0.157329,0.243026,0.165065,0.252292,0.269583,0.226319,0.083158,0.014577,0.053673,0.126245,0.061883,0.112947,0.073432,0.13644,0.163499,0.14403
rembrandt_rijks_200107931.png,0.24296,0.023646,0.07567,0.101109,0.076852,0.125548,0.05787,0.083447,0.133669,0.114389,0.005494,0.012633,0.022582,0.016443,0.042301,0.024896,0.027587,0.032804,0.020214,-0.111108,0.059446,0.13434,0.220906,0.157329,0.24296,0.164926,0.252278,0.269517,0.226222,0.083311,0.014587,0.053756,0.126394,0.061839,0.113329,0.073835,0.136604,0.163801,0.144265
rembrandt_rijks_200107934.jpg,0.27986,0.080419,0.112257,0.04423,0.120636,0.130402,0.071218,0.052581,0.090895,0.057398,0.025221,0.028602,0.016454,0.032627,0.042622,0.019783,0.022788,0.024045,0.014517,-0.008223,0.155656,0.186565,0.176718,0.25976,0.27986,0.167444,0.181965,0.211719,0.149925,0.034774,0.055923,0.074564,0.071438,0.113998,0.13988,0.053062,0.072414,0.15711,0.076721
rembrandt_rijks_200107934.png,0.279937,0.080231,0.112361,0.044288,0.120752,0.130423,0.071023,0.05263,0.090985,0.057206,0.025206,0.028598,0.016386,0.032746,0.042675,0.01966,0.022688,0.023957,0.014375,-0.008365,0.155525,0.18656,0.176596,0.25977,0.279937,0.167396,0.182044,0.211823,0.14991,0.034841,0.055907,0.074577,0.071538,0.114105,0.139947,0.053139,0.072601,0.157133,0.076812
rembrandt_rijks_200107935.jpg,0.295473,0.08164,0.108965,0.0797,0.133274,0.190264,0.144734,0.129715,0.155695,0.158526,0.025875,0.035399,0.026662,0.044386,0.070002,0.042725,0.026805,0.045291,0.054298,-0.013316,0.209689,0.198185,0.141487,0.229939,0.295473,0.196779,0.144307,0.216055,0.228946,0.031236,0.091723,0.092762,0.048115,0.110396,0.160886,0.080344,0.087661,0.134227,0.104419
rembrandt_rijks_200107935.png,0.295254,0.081682,0.10911,0.079751,0.133363,0.190563,0.144909,0.129854,0.155965,0.158762,0.025882,0.035402,0.02666,0.044376,0.070083,0.042746,0.026762,0.045305,0.054293,-0.013095,0.209616,0.198093,0.141358,0.229797,0.295254,0.196429,0.143965,0.215749,0.228638,0.032116,0.092204,0.09337,0.048405,0.111183,0.162259,0.08165,0.088529,0.13593,0.105869
